Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94
45,9.60022E+14,January,AL,3811.7857,1442.3,50,45,1,,57,1,4,0,0,"Native, Born In US",63,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
428,7.4903E+13,January,AK,429.0975,1000,40,44,1,,28,2,7,0,0,"Native, Born In US",94,"Justice, public order, and safety activities (922, pt. 92115)",2145,Government - State,No,No,Employed-At Work
656,2.35005E+14,January,AZ,3434.7076,1384.61,40,44,1,,62,1,1,0,0,"Native, Born In US",86,"Justice, public order, and safety activities (922, pt. 92115)",2100,Government - Federal,No,No,Employed-At Work
754,4.07511E+13,January,AZ,4672.0943,1057,40,43,1,,51,2,1,0,0,"Native, Born In US",86,"** Professional and commercial equipment and supplies, merchant wholesalers (*4234)",2160,"Private, For Profit",No,No,Employed-At Work
1489,9.79774E+13,January,CA,3166.3863,2307,50,46,1,,47,2,1,1,4,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
1608,2.90961E+14,January,CA,3281.9521,250,40,40,1,,49,1,7,0,0,"Native, Born In US",93,Legal services (5411),2160,"Private, For Profit",No,No,Employed-At Work
1729,4.35003E+14,January,CA,3060.5871,700,50,45,1,,29,1,7,0,0,"Native, Born In US",93,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",2100,"Private, For Profit",No,No,Employed-At Work
1996,7.0061E+14,January,CA,3057.3628,2884.61,50,46,1,,55,1,7,0,0,"Native, Born In US",93,Investigation and security services (5616),2100,"Private, For Profit",No,No,Employed-At Work
2056,8.00962E+14,January,CA,3841.2795,2884.61,60,45,4,,55,2,7,0,0,"Native, Born In US",93,"Banking and related activities (521, 52211,52219)",2100,"Private, For Profit",No,No,Employed-At Work
2150,9.24087E+14,January,CA,2512.9257,1153.84,40,40,1,1,60,2,1,0,0,"Foreign Born, US Cit By Naturalization",93,Legal services (5411),2160,"Private, For Profit",No,No,Employed-At Work
2219,9.47047E+14,January,CA,3939.1895,680,40,43,1,,22,1,7,0,0,"Native, Born In US",93,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
2433,7.05904E+13,January,CA,2854.0466,2307.69,50,45,1,,41,2,1,2,10,"Native, Born In US",93,"Justice, public order, and safety activities (922, pt. 92115)",2100,Government - Federal,No,No,Employed-At Work
2541,9.69436E+13,January,CA,3665.3257,2692.3,50,45,1,,37,1,6,0,0,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
2648,2.71097E+14,January,CA,2517.1342,2884.61,50,45,2,,47,2,7,0,0,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
2934,6.86821E+14,January,CA,3332.2768,2884.61,60,45,1,,38,1,1,2,5,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
3069,7.7615E+14,January,CA,3103.8495,2884.61,60,45,1,,34,1,1,2,6,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
3191,9.42066E+14,January,CA,2876.8222,2884.61,50,45,1,,52,1,1,1,4,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
3212,9.52087E+14,January,CA,5837.0566,584.32,32,43,4,,26,1,7,0,0,"Foreign Born, US Cit By Naturalization",93,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
3347,4.27304E+13,January,CA,3170.7914,2884.61,60,45,4,,43,1,1,2,3,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
3475,9.36999E+14,January,CA,3072.7131,2884.61,60,46,1,,51,1,1,2,10,"Native, Born In US",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
3509,9.76629E+14,January,CA,2939.2437,1730.76,30,46,4,,41,2,1,3,9,"Foreign Born, US Cit By Naturalization",93,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
3593,3.0081E+14,January,CO,1888.7181,884.61,40,43,1,8,28,2,5,0,0,"Native, Born In US",84,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
3769,3.00808E+14,January,CO,1528.7532,2884.61,60,46,1,,61,1,1,0,0,"Native, Born In US",84,Wired telecommunications carriers (*5171),2100,"Private, For Profit",No,No,Employed-At Work
3825,7.44009E+14,January,CO,1575.3717,2884.61,40,46,1,,54,1,1,1,3,"Native, Born In US",84,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
3872,9.40079E+14,January,CO,1699.3621,2884.61,45,46,1,,56,1,5,0,0,"Native, Born In US",84,"Justice, public order, and safety activities (922, pt. 92115)",2100,Government - Federal,No,No,Employed-At Work
3958,2.70983E+14,January,CO,1623.568,1288.46,40,46,1,,47,1,5,0,0,"Native, Born In US",84,Administration of human resource programs (923),2100,Government - Local,No,No,Employed-At Work
4056,8.99941E+14,January,CO,1519.8964,2884.61,60,46,1,,42,1,1,2,3,"Native, Born In US",84,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
4091,9.57059E+14,January,CO,1804.7247,2307,50,45,1,,46,2,5,4,15,"Native, Born In US",84,Legal services (5411),2100,"Private, Nonprofit",No,No,Employed-At Work
4150,1.40997E+14,January,CT,1282.8426,1500,60,45,1,,43,1,1,3,3,"Native, Born In US",CT,"Non-depository credit and related activities (5222, 5223)",2100,"Private, For Profit",No,No,Employed-At Work
4188,6.03709E+14,January,CT,1269.1049,528,24,43,1,,47,2,1,2,4,"Native, Born In US",CT,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
4329,1.33018E+14,January,CT,1380.3122,992,60,46,1,,55,1,1,0,0,"Native, Born In US",CT,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
4388,4.35011E+14,January,CT,1315.6904,2884.61,60,45,1,,46,1,1,2,10,"Native, Born In US",CT,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
4575,9.99991E+14,January,CT,1204.0516,1404,40,43,1,,45,2,5,0,0,"Native, Born In US",CT,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
4626,3.0091E+14,January,CT,1226.2167,769,40,39,1,,52,2,1,0,0,"Native, Born In US",CT,"Justice, public order, and safety activities (922, pt. 92115)",2160,Government - State,No,No,Employed-At Work
5064,3.41958E+13,January,DC,352.0317,1192,45,45,4,,34,2,7,0,0,"Native, Born In US",53,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
5098,1.29181E+14,January,DC,379.1144,1923.07,75,45,4,,32,1,7,0,0,"Native, Born In US",53,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",2100,Government - Federal,No,No,Employed-At Work
5129,1.7718E+14,January,DC,290.7775,2884.61,60,45,1,,43,1,1,2,3,"Native, Born In US",53,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
5159,1.94978E+14,January,DC,319.3861,2884.61,40,45,1,,54,1,7,0,0,"Native, Born In US",53,"Commercial, industrial, and other intangible assets rental and leasing (5324, 533)",2100,Government - Federal,No,No,Employed-At Work
5186,1.98571E+14,January,DC,307.7461,765,45,43,1,,26,1,7,0,0,"Native, Born In US",53,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
5187,1.98571E+14,January,DC,307.7461,765,45,43,1,,26,1,7,0,0,"Native, Born In US",53,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
